Work item ID,Work type,Parent,Summary,Description,Priority,Labels,Labels
100,Epic,,"[P0-F01] Product and Pilot Readiness","Confirm the pilot cohort, launch platform, workflow, and success measures before implementation cost is committed.",Highest,p0,product
101,Story,100,"[P0-PROD-01] Confirm pilot cohort and launch platform","Recruit at least 12 representative owner-operators; record device platform and OS, equipment type, factoring use, and availability; document the native launch-platform decision and go/no-go rationale.",Highest,p0,product
102,Story,100,"[P0-PROD-02] Validate the load-to-cash workflow","Walk at least five recruited drivers through evaluate, accept, prove, invoice, and payment scenarios; record current artifacts and top failure points; reconcile findings with P0 scope.",Highest,p0,product
103,Story,100,"[P0-PROD-03] Define the pilot scorecard and feedback loop","Assign a source and review cadence to every business validation goal; define privacy-safe events; provide an in-app feedback and pilot support path.",Highest,p0,product
200,Epic,,"[P0-F02] Mobile Frontend","Deliver the complete accessible driver-facing workflow using injected state and services with no direct vendor SDK calls from views.",Highest,p0,mobile
201,Story,200,"[P0-MOB-01] Build the app shell and navigation","Provide authenticated and unauthenticated roots; make active-load, modal, and deep-link navigation state restorable and testable; support loading, empty, offline, syncing, failed, and retry states.",Highest,p0,mobile
202,Story,200,"[P0-MOB-02] Build account and business onboarding","Support sign-up, sign-in, password reset, business identity, invoice settings, optional logo, payment terms, and factoring remittance details; validate required invoice fields.",Highest,p0,mobile
203,Story,200,"[P0-MOB-03] Build truck and cost profile screens","Capture equipment, MPG, fuel, maintenance reserve, fixed costs, working miles, default fees, and profit target; explain missing inputs and show derived fixed cost per mile.",Highest,p0,mobile
204,Story,200,"[P0-MOB-04] Build dashboard and search","Show active next actions, delivered-not-invoiced work, receivable states, and monthly summaries; search required fields; distinguish estimated, billed, and paid values.",Highest,p0,mobile
205,Story,200,"[P0-MOB-05] Build load intake and profitability","Support manual load entry and rate-confirmation attachment; keep deadhead visible; recalculate immediately; allow per-load overrides; save evaluating, accepted, or rejected.",Highest,p0,mobile
206,Story,200,"[P0-MOB-06] Build active load, stops, status, and ETA","Show stops, appointments, next action, allowed transitions, arrival/departure, corrections, ETA publishing, and manual location fallback; remain usable offline.",Highest,p0,mobile
207,Story,200,"[P0-MOB-07] Build detention and accessorial evidence","Start detention from arrival in no more than two taps; show free, elapsed, billable, and estimated amounts; capture supported charges and evidence; require override reasons.",Highest,p0,mobile
208,Story,200,"[P0-MOB-08] Build document capture and library","Scan or import supported images and PDFs; review, edit, classify, and annotate; show queued, uploading, synced, failed, inspect, and retry states by load.",Highest,p0,mobile
209,Story,200,"[P0-MOB-09] Build invoice and payment workflow","Review line items and evidence, warn about missing documents, generate and share a packet, mark sent, and record full, partial, disputed, overdue, and paid states.",Highest,p0,mobile
210,Story,200,"[P0-MOB-10] Build broker visibility controls","Create, preview, share, shorten expiry, and revoke a per-load link; make sharing optional; show exactly which fields the broker can see.",Highest,p0,mobile
211,Story,200,"[P0-MOB-11] Build settings, support, and data-rights UI","Edit defaults; expose app/device-aware feedback; initiate data export and account deletion with confirmation and status; show privacy and support links.",Highest,p0,mobile
300,Epic,,"[P0-F03] Mobile Core, Offline, and Device Services","Provide deterministic domain behavior and a durable local-first data layer behind app-owned protocols.",Highest,p0,core
301,Story,300,"[P0-CORE-01] Model the load domain and trip state machine","Define UUID-based entities and allowed transitions; preserve immutable events and corrections; support cancelled and disputed paths; test invalid transitions.",Highest,p0,core
302,Story,300,"[P0-CORE-02] Implement decimal-safe profitability calculations","Implement all FR-3 formulas with decimal-safe arithmetic; expose inputs and missing-input errors; test zero miles, invalid MPG, percentages, rounding, and overrides.",Highest,p0,core
303,Story,300,"[P0-CORE-03] Implement detention, invoice, and payment calculations","Apply free time; link evidence; version financial revisions; enforce sequential account invoice numbers; reconcile partial payments and remaining balance with tests.",Highest,p0,core
